metric,scheduler,mean,std,min,max,median
GPU Temp (°C),Naive (FP32),48.69865000000001,0.4974081180063169,46.781,49.343,48.906
GPU Temp (°C),Rule-Based,47.411179999999995,0.37889588079688646,46.781,48.562,47.343
GPU Temp (°C),RL,46.137789999999995,0.18247486584915407,45.843,46.531,46.093
CPU Temp (°C),Naive (FP32),52.85156,0.5516171875641311,51.062,53.656,53.031
CPU Temp (°C),Rule-Based,51.49023999999999,0.47276417167569085,50.875,53.125,51.359
CPU Temp (°C),RL,50.11147999999999,0.21274148394212852,49.718,50.781,50.062
GPU Util (%),Naive (FP32),1.25,5.166666666666666,0.0,28.0,0.0
GPU Util (%),Rule-Based,1.65,6.133819150719833,0.0,33.0,0.0
GPU Util (%),RL,1.25,5.569351557199165,0.0,33.0,0.0
Power (W),Naive (FP32),6.9420600000000015,0.05915308337464131,6.612,7.217,6.935
Power (W),Rule-Based,6.746339999999998,0.16333044029596178,6.652,7.93,6.693
Power (W),RL,6.655750000000001,0.032531375686257066,6.612,6.814,6.652
RAM (MB),Naive (FP32),4617.64,26.60239223692622,4357.0,4625.0,4619.5
RAM (MB),Rule-Based,4446.92,26.97573919377382,4180.0,4452.0,4450.0
RAM (MB),RL,4616.3,40.405895159448754,4217.0,4624.0,4621.0
YOLO Latency (ms),Naive (FP32),66.8009,9.85817684447635,60.03,156.35,66.035
YOLO Latency (ms),Rule-Based,49.34770000000001,5.899153484041827,42.95,104.97,48.86
YOLO Latency (ms),RL,41.105599999999995,2.6634000143357435,36.65,62.24,40.595
BERT Latency (ms),Naive (FP32),17.543499999999998,0.8319993868975986,16.13,21.24,17.405
BERT Latency (ms),Rule-Based,7.7784,1.4610109409915346,5.65,11.07,7.7
BERT Latency (ms),RL,8.650699999999999,1.2063470654932777,5.6,10.33,9.135000000000002
Total Latency (ms),Naive (FP32),84.344,10.288957599526226,76.64,176.47,83.505
Total Latency (ms),Rule-Based,57.1255,5.95546118527297,49.5,112.5,56.565
Total Latency (ms),RL,49.75599999999999,2.7944038593755436,43.88,69.59,49.65
FPS,Naive (FP32),15.139699999999998,1.2476122285098334,6.4,16.66,15.14
FPS,Rule-Based,20.415,1.3343439351882773,9.53,23.28,20.465
FPS,RL,24.407600000000002,1.2702088589891605,16.07,27.29,24.634999999999998
Throughput (tasks/s),Naive (FP32),191.31129999999996,14.088688324218465,90.67,208.77,191.61
Throughput (tasks/s),Rule-Based,281.81929999999994,17.525131752411845,142.22,323.23,282.865
Throughput (tasks/s),RL,322.4462,16.03010701363802,229.92,364.67,322.25
Energy/Inf (J),Naive (FP32),0.585203,0.06621693069073054,0.5283,1.1668,0.57945
Energy/Inf (J),Rule-Based,0.3854620000000001,0.041948953539156404,0.3313,0.7575,0.3797
Energy/Inf (J),RL,0.33117199999999997,0.018754000677565875,0.2919,0.4629,0.33045
Sched Overhead (ms),Rule-Based,0.006968000000000001,0.0006667999866693329,0.0045,0.0086,0.00705
Sched Overhead (ms),RL,7.826705999999999,23.411151602156515,3.1216,239.4595,5.4232
Cost Function,Naive (FP32),0.19104200000000002,0.016168339057515704,0.1776,0.3331,0.1898
Cost Function,Rule-Based,0.14163800000000001,0.010231578963229876,0.1285,0.2338,0.14040000000000002
Cost Function,RL,0.20730199999999993,0.004644796806506972,0.1981,0.24,0.20715
